Estimated Overall Performance
-------------------------------
Samples/s:                                     5897.5
Compute Samples/s:                             5897.5
Transmission Samples/s:                        5899.7
Active PEs:                                    79%
Compute Utilization:                           71%
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
| Kernel Name                                                                               | Samples/s   | Compute Samples/s | Transmission Samples/s | Active PEs | Compute Utilization |
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
|                                                                                           |             |                   |                        |            |                     |
| mlm_loss1.compute_core.nlin_exp                                                           |      5897.5 |            5897.5 |                13552.3 |       3675 |                100% |
| fc12.compute_core.fc.lib_fc                                                               |      5897.5 |            5897.5 |                13228.3 |      25472 |                100% |
| fc12.compute_core                                                                         |      5897.5 |            5897.5 |                13228.3 |      26400 |                 97% |
| mlm_loss1                                                                                 |      5897.5 |            5897.5 |                 6629.7 |       8232 |                 86% |
| fc12                                                                                      |      5897.5 |            5897.5 |                12721.5 |      26867 |                 96% |
| mlm_loss1.compute_core                                                                    |      5897.5 |            5897.5 |                 6629.7 |       7938 |                 87% |
| fc12.compute_core.fc                                                                      |      5897.5 |            5897.5 |                13228.3 |      25472 |                100% |
| attention40.compute_core.attn_fc_out.lib_fc                                               |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention47.compute_core.attn_fc_out.lib_fc                                               |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention32.compute_core.attn_fc_out                                                      |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention31                                                                               |      5971.8 |            5971.8 |                12435.6 |       2128 |                 60% |
| attention31.compute_core.attn_fc_out                                                      |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention37                                                                               |      5971.8 |            5971.8 |                12435.6 |       2128 |                 60% |
| attention47                                                                               |      5971.8 |            5971.8 |                12435.6 |       2128 |                 60% |
| attention45.compute_core.attn_fc_out.lib_fc                                               |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention31.compute_core.attn_fc_out.lib_fc                                               |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention45.compute_core                                                                  |      5971.8 |            5971.8 |                15515.5 |       1976 |                 63% |
| attention37.compute_core                                                                  |      5971.8 |            5971.8 |                15515.5 |       1976 |                 63% |
| attention40                                                                               |      5971.8 |            5971.8 |                12435.6 |       2128 |                 60% |
| attention32                                                                               |      5971.8 |            5971.8 |                12435.6 |       2128 |                 60% |
| attention37.compute_core.attn_fc_out.lib_fc                                               |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention45.compute_core.attn_fc_out                                                      |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention32.compute_core.attn_fc_out.lib_fc                                               |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention31.compute_core                                                                  |      5971.8 |            5971.8 |                15515.5 |       1976 |                 63% |
| attention47.compute_core.attn_fc_out                                                      |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention40.compute_core                                                                  |      5971.8 |            5971.8 |                15515.5 |       1976 |                 63% |
| attention40.compute_core.attn_fc_out                                                      |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
