Estimated Overall Performance
-------------------------------
Samples/s:                                     5897.5
Compute Samples/s:                             5897.5
Transmission Samples/s:                        6026.0
Active PEs:                                    58%
Compute Utilization:                           72%
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
| Kernel Name                                                                               | Samples/s   | Compute Samples/s | Transmission Samples/s | Active PEs | Compute Utilization |
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
|                                                                                           |             |                   |                        |            |                     |
| fc1.compute_core                                                                          |      5897.5 |            5897.5 |                13228.3 |      26400 |                 97% |
| mlm_loss1                                                                                 |      5897.5 |            5897.5 |                 8710.4 |       9650 |                 84% |
| mlm_loss1.compute_core                                                                    |      5897.5 |            5897.5 |                 8710.4 |       9264 |                 86% |
| fc1.compute_core.fc.lib_fc                                                                |      5897.5 |            5897.5 |                13228.3 |      25472 |                100% |
| fc1.compute_core.fc                                                                       |      5897.5 |            5897.5 |                13228.3 |      25472 |                100% |
| mlm_loss1.compute_core.nlin_exp                                                           |      5897.5 |            5897.5 |                17947.6 |       3667 |                100% |
| fc1                                                                                       |      5897.5 |            5897.5 |                13228.3 |      26867 |                 96% |
| mlm_loss1.compute_core.grad_ew                                                            |      5961.1 |            5961.1 |                11650.2 |        965 |                 99% |
| attention29.compute_core.attn_fc_out                                                      |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention29.compute_core                                                                  |      5971.8 |            5971.8 |                15515.5 |       1976 |                 63% |
| attention29.compute_core.attn_fc_out.lib_fc                                               |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention25.compute_core.attn_fc_out                                                      |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention25.compute_core.attn_fc_out.lib_fc                                               |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention29                                                                               |      5971.8 |            5971.8 |                15515.5 |       2128 |                 59% |
| attention25                                                                               |      5971.8 |            5971.8 |                15515.5 |       2128 |                 59% |
| attention25.compute_core                                                                  |      5971.8 |            5971.8 |                15515.5 |       1976 |                 63% |
| attention25.compute_core.attn_core_bwd                                                    |      5992.3 |            5992.3 |                17115.0 |        400 |                 98% |
| attention29.compute_core.attn_core_bwd                                                    |      5992.3 |            5992.3 |                17115.0 |        400 |                 98% |
| fc43.compute_core.fc.lib_fc                                                               |      5993.3 |            5993.3 |                15230.8 |        592 |                 98% |
| fc3                                                                                       |      5993.3 |            5993.3 |                15230.8 |        779 |                 83% |
| fc43.compute_core.fc                                                                      |      5993.3 |            5993.3 |                15230.8 |        592 |                 98% |
| fc43                                                                                      |      5993.3 |            5993.3 |                15230.8 |        779 |                 83% |
| fc3.compute_core.fc                                                                       |      5993.3 |            5993.3 |                15230.8 |        592 |                 98% |
| fc43.compute_core                                                                         |      5993.3 |            5993.3 |                15230.8 |        720 |                 87% |
| fc3.compute_core                                                                          |      5993.3 |            5993.3 |                15230.8 |        720 |                 87% |
| fc3.compute_core.fc.lib_fc                                                                |      5993.3 |            5993.3 |                15230.8 |        592 |                 98% |
| fc27.compute_core.fc.lib_fc                                                               |      6004.2 |            6004.2 |                17027.2 |        676 |                 98% |
